
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001159                       # Number of seconds simulated (Second)
system.cpu0.statIssuedInstType_0::SimdShift          987      0.17%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShiftAcc            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdDiv            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSqrt            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAdd            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAlu            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCmp            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCvt            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatDiv            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMisc            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMult            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAdd            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAlu            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceCmp            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAes            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAesMix            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma2            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma3            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdPredAlu            0      0.00%     81.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemRead        75005     12.61%     94.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemWrite        23622      3.97%     98.56% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemRead         4703      0.79%     99.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemWrite         3893      0.65%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total        594949                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        1.571524                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                              15828                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.026604                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads                 1497274                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites                 906730                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses         555915                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                    40880                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites                   36133                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses           18879                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                     582933                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                       20629                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                           581795                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                        76071                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                    13154                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                            102853                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                         61415                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                       26782                       # Number of stores executed (Count)
system.cpu0.numRate                          1.536778                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                            452                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                          49898                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.quiesceCycles                     1939942                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
system.cpu0.committedInsts                     224469                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                       416501                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              1.686563                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         1.686563                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              0.592922                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         0.592922                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                    704139                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites                   425124                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                      25830                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                     13890                       # Number of floating regfile writes (Count)
system.cpu0.ccRegfileReads                     307130                       # number of cc regfile reads (Count)
system.cpu0.ccRegfileWrites                    203503                       # number of cc regfile writes (Count)
system.cpu0.miscRegfileReads                   238851                       # number of misc regfile reads (Count)
system.cpu0.miscRegfileWrites                     126                       # number of misc regfile writes (Count)
system.cpu0.MemDepUnit__0.insertedLoads         87433                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores        30808                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads         3635                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores         3215                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups                  94196                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted            75318                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect             5883                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups               35636                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBUpdates                3887                       # Number of BTB updates (Count)
system.cpu0.branchPred.BTBHits                  32761                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.919323                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed                   2712                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect                 1                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups           3365                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits               673                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses            2692                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted          456                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts         256101                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls            831                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts             5467                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples       291855                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     1.427082                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     2.568091                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0         189278     64.85%     64.85% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1          29469     10.10%     74.95% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2          11710      4.01%     78.96% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3          16044      5.50%     84.46% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4           6343      2.17%     86.63% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5           3802      1.30%     87.94% # Number of insts commited each cycle (Count)
